"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.342145000E-1,1.196631952E0,3.103545363E0,7.943998680E-1,3.419794292E0
6.442635000E-1,7.806567916E-1,3.158158357E0,6.185757744E-1,3.311498939E0
6.543135000E-1,7.388483226E-2,3.179779022E0,-3.463690285E-1,3.199441373E0
6.643625000E-1,-8.232085879E-1,2.985374304E0,-1.932404932E0,3.650249435E0
6.744125000E-1,-1.378103068E0,2.504567116E0,-2.813788930E0,4.011163503E0
6.844615000E-1,-1.337009421E0,2.128799311E0,-3.101173148E0,3.992074096E0
6.945115000E-1,-1.012252871E0,1.943092911E0,-3.235244540E0,3.907310222E0
7.045605000E-1,-7.054808941E-1,1.537233580E0,-3.350135311E0,3.752891815E0
7.146105000E-1,-4.137364081E-1,9.144320226E-1,-3.155842275E0,3.311601456E0
7.246595000E-1,-1.516934386E-1,2.086514586E-1,-2.355847864E0,2.369929427E0
7.347095000E-1,3.191115019E-1,-2.381711268E-1,-1.502815114E0,1.554673890E0
7.447585000E-1,1.113508666E0,-5.861927247E-1,-1.147974201E0,1.703340314E0
7.548085000E-1,2.307907420E0,-1.725926737E0,-1.135719022E0,3.097598660E0
7.648575000E-1,3.436881679E0,-3.475051718E0,-1.521637009E0,5.118937322E0
7.749075000E-1,4.585473053E0,-4.909715779E0,-2.249428247E0,7.084617110E0
7.849565000E-1,5.817092552E0,-5.663268680E0,-2.775124509E0,8.579772371E0
7.950065000E-1,6.742629021E0,-5.536962975E0,-2.830594120E0,9.172418884E0
8.050555000E-1,7.048843027E0,-5.221160120E0,-2.323029489E0,9.074313584E0
8.151055000E-1,6.846331730E0,-5.146664253E0,-1.461882266E0,8.688930363E0
8.251545000E-1,6.260132573E0,-5.342560011E0,-1.059511968E0,8.297877615E0
8.352011667E-1,5.464247586E0,-5.192265519E0,-2.144637956E0,7.836905949E0
8.452511667E-1,4.240972064E0,-4.913174992E0,-4.174750593E0,7.717102764E0
8.553001667E-1,2.867159976E0,-5.084946892E0,-5.647154338E0,8.122046746E0
8.653501667E-1,2.497761250E0,-5.113547963E0,-4.220250409E0,7.085033348E0
8.753991667E-1,3.032398782E0,-5.770934047E0,-9.645449996E-2,6.519848588E0
8.854491667E-1,3.652334911E0,-7.626837371E0,3.073486581E0,8.997472887E0
8.954981667E-1,4.114741203E0,-8.094370794E0,2.130734155E0,9.326840932E0
9.055481667E-1,3.988811181E0,-7.074139836E0,1.005429316E0,8.183211911E0
9.155971667E-1,2.581342227E0,-5.523009179E0,-2.496674837E-1,6.101581102E0
9.256471667E-1,2.147214532E-2,-4.614988629E0,-2.728432446E0,5.361242832E0
9.356961667E-1,-2.275369712E0,-3.364128867E0,-4.112806360E0,5.780125129E0
9.457461667E-1,-4.128403807E0,-3.618936492E0,-3.777850950E0,6.664276189E0
9.557951667E-1,-5.241548191E0,-4.496372597E0,-2.578119242E0,7.371424068E0
9.658451667E-1,-5.542678628E0,-5.025592976E0,-1.110716035E0,7.563832444E0
9.758941667E-1,-5.228284367E0,-5.142586990E0,3.268476605E-1,7.340843805E0
9.859441667E-1,-4.658211539E0,-5.163866177E0,1.514948087E0,7.117549884E0
9.959931667E-1,-3.957183884E0,-5.222294480E0,2.765047710E0,7.111761580E0
1.006043167E0,-3.119017388E0,-5.452428024E0,3.282037468E0,7.087242818E0
1.016093167E0,-2.178234888E0,-5.772535014E0,3.032962453E0,6.875007561E0
1.026142167E0,-1.089227664E0,-6.034257556E0,3.186923150E0,6.910510858E0
1.036192167E0,-4.212442330E-1,-5.993641627E0,3.122478647E0,6.771341046E0
1.046241167E0,-1.914067040E-1,-5.417913079E0,1.023891753E0,5.517134490E0
1.056291167E0,6.196645260E-2,-4.470598655E0,-1.222595490E0,4.635173342E0
1.066340167E0,2.092518946E-1,-3.659539558E0,-9.853857918E-1,3.795655581E0
1.076390167E0,-2.488458037E-2,-2.192221720E0,9.944745576E-1,2.407370964E0
1.086439167E0,-5.984726816E-1,2.765206754E-2,4.506032782E0,4.545686485E0
1.096489167E0,-1.045350304E0,2.427079815E0,7.797486606E0,8.233120371E0
1.106538167E0,-1.275404618E0,4.642927794E0,9.351954854E0,1.051867363E1
1.116588167E0,-1.823173535E0,6.231720368E0,8.361114925E0,1.058614865E1
1.126637167E0,-2.192511742E0,7.096718860E0,6.707891883E0,1.000831354E1
1.136687167E0,-2.463873419E0,7.773341698E0,4.906466482E0,9.516770813E0
1.146736167E0,-2.665309121E0,8.353043429E0,3.485346618E0,9.435297996E0
1.156786167E0,-2.900778542E0,8.955888439E0,2.264685971E0,9.682523247E0
1.166835167E0,-3.230679034E0,9.196116616E0,1.966625908E0,9.943513730E0
1.176885167E0,-3.461613647E0,9.238039398E0,2.634989262E0,1.021113654E1
1.186934167E0,-3.293092214E0,9.661117610E0,3.660832669E0,1.084358546E1
1.196984167E0,-3.061593930E0,9.358461050E0,4.894276499E0,1.099582162E1
1.207033167E0,-2.835411057E0,8.691625866E0,4.561484559E0,1.021719421E1
1.217083167E0,-2.897489776E0,8.030647253E0,3.502896159E0,9.228056340E0
1.227133167E0,-3.118402553E0,7.646756496E0,2.836244870E0,8.731643852E0
1.237182167E0,-3.110761704E0,7.323337643E0,2.821308450E0,8.442031389E0
1.247232167E0,-2.569065413E0,7.046478998E0,3.014014551E0,8.083145865E0
1.257281167E0,-1.667154619E0,6.817573954E0,3.122421637E0,7.681681848E0
1.267331167E0,-6.796034566E-1,6.539910733E0,2.875438756E0,7.176380793E0
1.277380167E0,3.843886480E-1,5.726082394E0,1.159635596E0,5.854957637E0
