"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.366306250E-1,-5.563288309E0,-4.333184409E1,5.861412692E-1,4.369144597E1
6.466806250E-1,-3.615571420E0,-3.700744653E1,-1.510720550E0,3.721432159E1
6.567316250E-1,-1.589242078E0,-2.312807913E1,2.853357916E0,2.335755522E1
6.667826250E-1,-8.681185663E-2,-1.167274164E1,6.549618280E0,1.338498911E1
6.768336250E-1,5.196911716E-1,-3.409065889E0,7.134626943E0,7.924311375E0
6.868846250E-1,-6.785277151E-2,2.178068535E0,6.136653997E0,6.512074079E0
6.969346250E-1,-1.504174300E-1,6.369274946E0,5.339197862E0,8.312479928E0
7.069856250E-1,-2.106237976E-1,9.171487559E0,4.534950187E0,1.023358782E1
7.170366250E-1,-1.025360720E0,1.049391490E1,3.615487804E0,1.114654057E1
7.270876250E-1,-1.778879999E0,1.138451133E1,3.818723572E0,1.213895226E1
7.371386250E-1,-2.464295296E0,1.239542125E1,4.327654697E0,1.335843607E1
7.471886250E-1,-3.823851288E0,1.334186443E1,2.333345439E0,1.407379431E1
7.572396250E-1,-4.757494045E0,1.311106548E1,7.198226523E-1,1.396609939E1
7.672906250E-1,-5.989673122E0,1.197682609E1,3.032360190E-1,1.339449512E1
7.773416250E-1,-6.868613130E0,1.176532178E1,1.554631970E0,1.371194820E1
7.873926250E-1,-7.108228519E0,1.201320162E1,3.962545781E0,1.451019280E1
7.974426250E-1,-5.374614447E0,1.241436505E1,6.030448680E0,1.481111918E1
8.074936250E-1,-2.422290360E0,1.277823144E1,6.647328762E0,1.460608328E1
8.175446250E-1,-1.001665463E0,1.240620351E1,7.612077829E0,1.458975490E1
8.275956250E-1,-2.111122593E-2,1.181746608E1,8.582015131E0,1.460492841E1
8.376466250E-1,8.627547692E-1,1.088575670E1,8.890210174E0,1.408118893E1
8.476966250E-1,1.364920520E0,9.931555427E0,7.929785707E0,1.278203046E1
8.577476250E-1,1.557905680E0,8.790909834E0,6.361220407E0,1.096231230E1
8.677986250E-1,1.805574147E0,7.243901464E0,4.412645731E0,8.672119047E0
8.778496250E-1,2.891280910E0,5.097600852E0,1.896505513E0,6.159689351E0
8.879006250E-1,4.768900501E0,2.517244465E0,-1.146791602E0,5.513081050E0
8.979506250E-1,7.281068705E0,3.655544740E-1,-4.268126534E0,8.447750924E0
9.080016250E-1,9.215417106E0,1.473623475E0,-2.918833575E0,9.778295762E0
9.180526250E-1,8.306322421E0,5.234615148E0,5.813683040E0,1.141030667E1
9.281036250E-1,4.142816024E0,8.543152782E0,1.479226628E1,1.757724454E1
9.381546250E-1,-9.412178251E-1,9.598185782E0,1.433137003E1,1.727423597E1
9.482046250E-1,-5.623947909E0,7.781274616E0,6.990406539E0,1.187614450E1
9.582556250E-1,-6.597343254E0,3.293409133E-1,2.744774536E0,7.153124541E0
9.683066250E-1,-6.019244245E0,-6.736294148E0,2.105504004E0,9.275888488E0
9.783576250E-1,-7.806511198E0,-9.892673782E0,4.458199049E0,1.336720429E1
9.884076250E-1,-1.109943501E1,-9.313630448E0,3.881962379E0,1.500036005E1
9.984586250E-1,-1.431671457E1,-6.692257597E0,2.666517448E-1,1.580587647E1
1.008509625E0,-1.609854829E1,-5.158112517E0,-2.051634483E-1,1.690595971E1
1.018560625E0,-1.369003923E1,-3.974338446E0,2.418857606E0,1.445902529E1
1.028611625E0,-7.610621288E0,-3.831369930E0,3.684304855E0,9.283051987E0
1.038661625E0,-2.116793223E0,-5.446386096E0,4.140911586E0,7.161779375E0
1.048712625E0,1.802544266E0,-7.779278961E0,6.171799856E0,1.009244571E1
1.058763625E0,4.326475022E0,-1.074946512E1,1.002564882E1,1.532263100E1
1.068814625E0,7.169428402E0,-1.803831179E1,1.107886568E1,2.235000359E1
1.078865625E0,1.257967520E1,-2.635456805E1,2.963163071E0,2.935288436E1
1.088915625E0,1.778734930E1,-2.638487534E1,-1.313446603E1,3.442478235E1
1.098966625E0,1.902718706E1,-2.084461278E1,-1.392550660E1,3.147143885E1
1.109017625E0,1.805240826E1,-1.470138534E1,-6.156375486E0,2.408155174E1
1.119068625E0,1.606141496E1,-1.078126228E1,-2.230261366E0,1.947251223E1
1.129119625E0,1.282845551E1,-7.684927704E0,-4.077506719E0,1.550011115E1
1.139169625E0,5.510358728E0,-5.743170297E0,-8.692701754E0,1.178605626E1
1.149220625E0,-3.099500259E0,-4.854712776E0,-1.319158982E1,1.439420648E1
1.159271625E0,-8.064353528E0,-3.392695439E0,-1.782678409E1,1.985795587E1
1.169322625E0,-8.824347721E0,1.452682257E-2,-2.182878337E1,2.354495928E1
1.179373625E0,-7.675130110E0,2.547884459E0,-2.273600461E1,2.413141610E1
1.189423625E0,-3.358683063E0,3.093280576E0,-1.948311551E1,2.001102013E1
1.199474625E0,2.595060965E0,2.462349050E0,-1.222325583E1,1.273599181E1
1.209525625E0,7.212025952E0,2.197871300E0,-5.345589454E0,9.242255309E0
1.219576625E0,9.050439085E0,1.740264110E0,3.229382122E-1,9.221890039E0
1.229626625E0,8.185449364E0,2.567609457E0,5.870613286E0,1.039510943E1
1.239677625E0,8.259674504E0,5.533813664E0,5.306141213E0,1.126944769E1
1.249728625E0,7.981114320E0,9.580903752E0,-2.638854856E0,1.274580156E1
1.259779625E0,6.009349587E0,1.300944204E1,-4.229894222E0,1.494154844E1
1.269830625E0,3.981214479E0,1.402420877E1,-2.753561440E0,1.483612487E1
1.279880625E0,2.250280917E0,1.305602330E1,-2.945788362E0,1.357207345E1
1.289931625E0,5.240053935E-1,1.144450494E1,-4.265233039E0,1.222470808E1
1.299982625E0,-2.076457229E0,8.256250960E0,-7.313355861E0,1.122330292E1
1.310033625E0,-3.271336771E0,3.801093047E0,-8.518428415E0,9.885017718E0
1.320084625E0,-2.247330558E0,-6.529831302E-1,-8.086788125E0,8.418611749E0
1.330134625E0,-1.209856454E0,-9.644762363E0,-7.263134125E0,1.213417945E1
1.340185625E0,-1.532906348E0,-2.345137168E1,-3.623330675E0,2.377909083E1
1.350236625E0,-5.595291290E-1,-3.259746712E1,-5.521958435E-1,3.260694490E1
